referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
Carlos Arturo Ortega Jaimes,1,5.0,5.085,0.9834,0.9985,13
"Emikar Caldera Barrera, Venezuela",1,5.0,4.84,1.0331,1.003,11
"Javier Revollo, Bolivia",1,5.0,4.84,1.0331,1.003,11
"Blas Romero, Paraguay",1,3.0,4.84,0.6199,0.9654,11
"Hernan Heras, Uruguay",1,7.0,4.84,1.4464,1.0406,11
S. Saka,1,2.0,4.969,0.4025,0.9457,203
A. Şen,1,3.0,4.969,0.6037,0.964,203
Iosu Galech Apezteguía,1,6.0,5.257,1.1413,1.0128,141
Miguel Sesma Espinosa,1,4.0,5.257,0.7609,0.9783,141
Lucas Paulo Torezin,1,6.0,5.329,1.126,1.0115,71
Lucas Canetto Bellote,1,7.0,5.329,1.3137,1.0285,71
"Leandro Fedele, Argentina",1,7.0,5.505,1.2715,1.0247,128
Darío Herrera,1,2.0,5.085,0.3933,0.9448,13
M. Orellana,1,6.0,5.257,1.1413,1.0128,141
J. A. Gonzalez Esteban,1,7.0,5.257,1.3316,1.0301,141
A. Fuentes,1,3.0,5.257,0.5707,0.961,141
Anthony Taylor,1,6.0,4.254,1.4103,1.0373,39
"Edgardo Zamora, Argentina",1,6.0,5.505,1.0898,1.0082,128
Simon Hooper,1,6.0,4.254,1.4103,1.0373,39
A. Ojaos,1,5.0,5.257,0.9511,0.9956,141
"Afro Rocha De Carvalho Filho, Brazil",1,6.0,5.329,1.126,1.0115,71
Sebastián Nicolás Martínez,1,4.0,5.505,0.7266,0.9751,128
Darren England,1,4.0,4.254,0.9402,0.9946,39
Craig Pawson,1,0.0,4.254,0.0,0.9091,39
Nazareno Arasa,1,2.0,5.505,0.3633,0.9421,128
Hernán Mastrángelo,1,2.0,5.505,0.3633,0.9421,128
Fernando Espinoza,1,6.0,5.505,1.0898,1.0082,128
Pablo Dóvalo,1,3.0,5.505,0.5449,0.9586,128
"Giovanni Baccini, Italy",1,7.0,4.189,1.6712,1.061,135
"Murilo Ugolini Klein, Brazil",1,2.0,5.329,0.3753,0.9432,71
"Direnc Tonusluoglu, Türkiye",1,5.0,4.969,1.0062,1.0006,203
S. Ais,1,1.0,4.393,0.2276,0.9298,143
S. Muresan,1,6.0,4.393,1.3657,1.0332,143
M. Gonzalez,1,3.0,4.393,0.6828,0.9712,143
L. Bestard Servera,1,5.0,4.393,1.1381,1.0126,143
D. Palencia,1,7.0,4.393,1.5933,1.0539,143
A. de Ena Wolf,1,3.0,4.393,0.6828,0.9712,143
"Victor Garcia Acosta,",1,4.0,4.393,0.9104,0.9919,143
"Maria Eugenia Gil, Spain",1,8.0,4.844,1.6516,1.0592,140
A. Backhouse,1,4.0,4.129,0.9688,0.9972,45
S. Martin,1,3.0,4.129,0.7266,0.9751,45
"Jose Maria Sanchez Santos, Spain",1,5.0,4.393,1.1381,1.0126,143
R. Obrenovic,1,5.0,3.997,1.2511,1.0228,2
M. Al-Hakim,1,3.0,4.809,0.6239,0.9658,3
I. Kruzliak,1,1.0,3.997,0.2502,0.9318,2
E. D. Zamora,1,6.0,5.505,1.0898,1.0082,128
F. Badstubner,1,3.0,5.0,0.6,0.9636,81
S. Martinez,1,6.0,5.505,1.0898,1.0082,128
"Jose David Martinez Montalban, Spain",1,9.0,4.393,2.0485,1.0953,143
G. Ward,1,6.0,4.129,1.4531,1.0412,45
"Fatih Tokail, Türkiye",1,9.0,4.969,1.8112,1.0737,203
"Javier Feres, Uruguay",1,9.0,5.085,1.77,1.07,13
"Lewis Smith, England",1,7.0,4.254,1.6454,1.0587,39
"Maximiliano Macheroni, Argentina",1,10.0,5.505,1.8164,1.0742,128
R. Claus,1,4.0,5.329,0.7507,0.9773,71
H. U. Meler,1,7.0,3.997,1.7515,1.0683,2
"Asen Albayrak, Türkiye",1,6.0,4.969,1.2075,1.0189,203
"Mitja Stegemann, Germany",1,3.0,4.13,0.7263,0.9751,78
N. Lamolina,1,4.0,5.505,0.7266,0.9751,128
P. Raczkowski,1,0.0,3.997,0.0,0.9091,2
D. Lacerda,1,7.0,5.329,1.3137,1.0285,71
"Antonio Sanchez Sanchez, Spain",1,3.0,5.257,0.5707,0.961,141
C. A. Betancur Gutierrez,1,7.0,4.84,1.4464,1.0406,11
A. Menendez,1,4.0,4.84,0.8265,0.9842,11
P. Zanovelli,1,9.0,4.84,1.8597,1.0782,11
G. Tejera,1,6.0,5.085,1.18,1.0164,13
D. Lopez,1,2.0,5.085,0.3933,0.9448,13
A. Herrera,1,7.0,5.085,1.3767,1.0342,13
M. Ramirez,1,4.0,5.085,0.7867,0.9806,13
D. Herrera,1,8.0,4.84,1.653,1.0594,11
B. L. Salazar,1,8.0,4.84,1.653,1.0594,11
D. Benitez,1,5.0,4.84,1.0331,1.003,11
A. Diaz,1,2.0,5.085,0.3933,0.9448,13
R. B. Perez,1,5.0,5.085,0.9834,0.9985,13
R. Abatti,1,3.0,5.085,0.59,0.9627,13
A. Daronco,1,5.0,4.84,1.0331,1.003,11
K. Ortega,1,4.0,4.84,0.8265,0.9842,11
R. Klein,1,5.0,4.84,1.0331,1.003,11
J. Benitez,1,1.0,5.085,0.1967,0.927,13
J. Ospina,1,5.0,5.085,0.9834,0.9985,13
J. Espinoza,1,4.0,5.085,0.7867,0.9806,13
"Abdullah Bugra Taskinsoy, Türkiye",1,8.0,4.969,1.61,1.0555,203
I. N. Mendez Chavez,1,2.0,4.84,0.4133,0.9467,11
Y. Herrera,1,3.0,4.84,0.6199,0.9654,11
B. Amiconi,1,7.0,5.505,1.2715,1.0247,128
