referee,n,avg_cards,liga_avg,factor_raw,factor,ligas
"Thomas Kirk, England",5,4.4,4.254,1.0342,1.0114,39
G. Cuadra,5,4.2,4.844,0.8671,0.9557,140
M. Busquets,5,6.0,4.844,1.2387,1.0796,140
R. De Burgos,5,5.0,4.844,1.0323,1.0108,140
E. Eskas,5,3.0,4.647,0.6455,0.8818,"2,848"
J. Pinheiro,5,6.0,4.647,1.2911,1.097,"2,848"
S. Vincic,5,3.0,3.997,0.7507,0.9169,2
L. Lobo Medina,5,4.6,5.505,0.8355,0.9452,128
Maguielson Lima Barbosa,4,9.0,5.329,1.689,1.1969,71
D. Di Marco,4,2.75,4.189,0.6565,0.9019,135
Caio Max Augusto Vieira,4,4.75,5.329,0.8914,0.969,71
A. Stavrev,4,4.25,4.606,0.9228,0.9779,"2,3"
A. Sidiropoulos,4,5.25,4.809,1.0918,1.0262,3
K. Tohver,4,4.75,4.809,0.9878,0.9965,3
H. Feșnic,4,5.5,4.606,1.1942,1.0555,"2,3"
A. Treimanis,4,9.5,4.809,1.9757,1.2788,3
I. Pajač,4,2.5,4.809,0.5199,0.8628,3
J. Brisard,4,4.25,4.809,0.8838,0.9668,3
U. Schnyder,4,5.75,4.2,1.3692,1.1055,"2,3"
S. Gözübüyük,4,5.5,4.403,1.2493,1.0712,"2,3"
M. Barbu,4,3.25,4.809,0.6759,0.9074,3
K. Bonacina,4,3.25,4.189,0.7759,0.936,135
P. Echavarría,4,5.5,5.505,0.999,0.9997,128
"Aragon Bautista, Augusto Bergelio, Ecuador",4,4.25,4.901,0.8672,0.9621,"11,13"
S. Martínez,4,7.25,5.505,1.3169,1.0905,128
L. Rey Hilfer,4,6.75,5.505,1.2261,1.0646,128
"Perez Gutierrez, Roberto, Peru",4,3.0,4.901,0.6121,0.8892,"11,13"
"Abel, Ramon Abatti, Brazil",4,5.25,5.268,0.9967,0.999,"13,71"
"Jose Cabero, Chile",4,3.75,4.84,0.7749,0.9357,11
"Gustavo Tejera, Uruguay",4,4.0,4.962,0.8061,0.9446,"11,13"
"Byran Loayza, Ecuador",4,5.0,4.84,1.0331,1.0095,11
"Juan Gabriel Benitez, Paraguay",4,3.25,4.901,0.6632,0.9038,"11,13"
"Augusto Menendez, Peru",4,3.0,4.84,0.6199,0.8914,11
Gustavo Tejera,4,5.5,5.023,1.0949,1.0271,"11,13"
"Francisco Gilabert, Chile",4,3.75,4.84,0.7749,0.9357,11
Cristián Marcelo Garay Reyes,4,4.25,5.085,0.8358,0.9531,13
"Yuri Elino Ferreira Da Cruz, Brazil",4,4.25,5.329,0.7976,0.9422,71
"Andrew Kitchen, England",4,3.5,4.254,0.8227,0.9493,39
"Gurcan Hasova, Türkiye",4,6.75,4.969,1.3584,1.1024,203
P. Echavarria,4,3.75,5.505,0.6812,0.9089,128
I. Galech,4,5.25,4.844,1.0839,1.024,140
