team_id,nombre_db,oddsapi_name
1966,Sportivo Belgrano,
1992,Orense SC,
2073,Silkeborg,
2140,2 de Mayo,
2184,Servette FC,
2247,Apoel Nicosia,
2271,Petrocub,
2315,Colo Colo,
2318,Palestino,
2319,Deportes Iquique,
2321,Union Espanola,
2323,Universidad de Chile,
2325,Everton de Vina,
2337,Nublense,
2348,Penarol,
2350,Defensor Sporting,
2352,Danubio,
2356,Club Nacional,
2359,Racing Montevideo,
2360,Wanderers,
2361,Boston River,
2369,Cerro Largo,
2390,Paks,
2422,Real Pilar,
2424,Estudiantes RC,Estudiantes Rio Cuarto
2427,Deportivo Armenio,
2430,Argentino de Merlo,
2432,Barracas Central,CA Barracas Central
2540,Universitario,
2546,Sporting Cristal,
2553,Alianza Lima,
2554,FBC Melgar,
2562,Cienciano,
2564,Atletico Grau,
2646,TSC Backa Topola,
2807,Deportivo Tachira FC,
2808,Caracas FC,
2810,Carabobo FC,
2811,Monagas SC,
2813,Deportivo La Guaira,
2825,Metropolitanos FC,
2827,Puerto Cabello,
2840,UCV,
2994,Universidad Catolica,
3327,Egnatia Rrogozhinë,
3364,Borac Banja Luka,
3403,Pafos,
3549,Ružomberok,
3637,Aurora,
3701,Blooming,
3702,Bolívar,
3706,Nacional Potosí,
3711,The Strongest,
3745,Dečić,
3874,Panevėžys,
3943,Deportivo Camioneros,
3947,Juventud Unida Univ.,
3975,Kimberley Mar del Plata,
4160,Rīgas FS,
4346,Struga,
4360,Celje,
4495,Maccabi Petah Tikva,
4626,Hamrun Spartans,
4665,Racing Santander,
4666,Hércules,
4907,Ponferradina,
5250,Badalona,
5251,Barakaldo,
5253,CF Talavera,
5254,Castellón,
5256,Compostela,
5257,Conquense,
5259,Don Benito,
5261,Ebro,
5262,FC Cartagena,
5265,Langreo,
5266,Lleida Esportiu,
5267,Marbella,
5270,Mutilvera,
5271,Navalcarnero,
5273,Poblense,
5274,Real Jaén,
5275,Real Murcia,
5277,Sant Andreu,
5278,Teruel,
5279,Tudelano,
5280,UD Logroñés,
5281,Unionistas de Salamanca,
5283,Yeclano,
5308,Virtus,
5354,Larne,
6489,Kryvbas KR,
7522,Antoniano,
7524,Melilla CD,
7848,Mirassol,
8008,Comunicaciones,
8157,FC Andorra,
8375,Almirante Brown,
8376,Argentino Quilmes,
8377,Colegiales,
8379,San Miguel,
8381,Deportivo Español,
8382,Berazategui,
8384,El Porvenir,
8385,Excursionistas,
8386,Ituzaingó,
8387,San Martín Burzaco,
8390,Centro Español,
9380,Amorebieta,
9381,Atlético Baleares,
9383,Bergantiños,
9384,Cacereño,
9386,Escobedo,
9387,Gimnástica Segoviana,
9388,Guijuelo,
9390,Ibiza,
9392,L'Hospitalet,
9394,Laredo,
9395,Las Rozas,
9400,Lorca Deportiva,
9403,Olot,
9404,Orihuela,
9407,Pontevedra,
9408,Portugalete,
9409,Racing Ferrol,
9411,SD Logroñés,
9412,SS Reyes,
9416,Tarazona,
9418,Zamora,
9578,Arenas Getxo,
9580,Burgos,
9588,Salamanca UDS,
9589,Ejea,
9593,Sabadell,
9600,San Fernando CD,
9612,Ourense CF,
9617,UD Ourense,
9619,Caudal,
9627,Llanera,
9632,Real Avilés,
9645,Selaya,
9648,Sámano,
9649,Textil Escudo,
9651,Tropezón,
9657,Beasain,
9684,Roda,
9692,Eldense,
9694,Jove Español,
9712,Móstoles,
9714,RSD Alcalá,
9723,Atlético Astorga,
9724,Atlético Tordesillas,
9736,Real Ávila,
9742,Antequera,
9750,Maracena,
9756,Ciudad de Lucena,
9764,Puente Genil,
9770,Xerez,
9776,Constància,
9781,Ibiza Islas Pitiusas,
9791,Atlético Paso,
9797,Lanzarote,
9811,Deportiva Minera,
9814,Los Garres,
9823,Águilas,
9826,Azuaga,
9827,CD Coria,
9843,Baztán,
9849,Cortes,
