fecha_analisis,fixture_id,partido,competicion,mercado,lado,odds,modelo_prob,implied_prob,edge,ev_pct,metodo,categoria,alcance,resultado,odds_close,clv_pct,fecha_cierre,odds_close_est,clv_pct_est,clv_method
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",Goles Bayern München O/U 0.5,Under/No,8.00,0.3012,0.1189,0.1823,1.4096,v3.6,Goles,Visitante,L,8.00,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388583,FSV Mainz 05 vs Bayern München,"('Bundesliga', False)",BTTS,Under/No,2.62,0.4296,0.3547,0.0749,0.1256,v3.6,BTTS,Total,L,2.62,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388578,FC Augsburg vs Eintracht Frankfurt,"('Bundesliga', False)",Goles Eintracht Frankfurt O/U 1.5,Under/No,1.80,0.6750,0.5148,0.1602,0.2150,v3.6,Goles,Visitante,W,1.83,-1.64,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388578,FC Augsburg vs Eintracht Frankfurt,"('Bundesliga', False)",Goles Eintracht Frankfurt O/U 2.5,Under/No,1.22,0.8862,0.7663,0.1199,0.0812,v3.6,Goles,Visitante,W,1.22,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388578,FC Augsburg vs Eintracht Frankfurt,"('Bundesliga', False)",Goles Eintracht Frankfurt O/U 0.5,Under/No,4.50,0.3116,0.2077,0.1039,0.4023,v3.6,Goles,Visitante,L,4.50,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:17,1388578,FC Augsburg vs Eintracht Frankfurt,"('Bundesliga', False)",BTTS,Under/No,2.62,0.4191,0.3547,0.0644,0.0980,v3.6,BTTS,Total,L,2.62,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:18,1388580,1. FC Köln vs Bayer Leverkusen,"('Bundesliga', False)",Goles Bayer Leverkusen O/U 1.5,Under/No,2.10,0.6800,0.4430,0.2370,0.4280,v3.6,Goles,Visitante,L,2.10,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:18,1388580,1. FC Köln vs Bayer Leverkusen,"('Bundesliga', False)",Goles Bayer Leverkusen O/U 2.5,Under/No,1.33,0.8886,0.7096,0.1790,0.1818,v3.6,Goles,Visitante,W,1.33,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:18,1388580,1. FC Köln vs Bayer Leverkusen,"('Bundesliga', False)",Goles Bayer Leverkusen O/U 0.5,Under/No,6.00,0.3147,0.1573,0.1574,0.8881,v3.6,Goles,Visitante,L,6.00,+0.00,2026-04-25 13:14,,,exact
2026-04-23 23:18,1388581,Hamburger SV vs 1899 Hoffenheim,"('Bundesliga', False)",Goles 1899 Hoffenheim O/U 1.5,Under/No,2.25,0.6501,0.4110,0.2391,0.4628,v3.6,Goles,Visitante,L,2.38,-5.46,2026-04-25 16:14,,,exact
2026-04-23 23:18,1388581,Hamburger SV vs 1899 Hoffenheim,"('Bundesliga', False)",Goles 1899 Hoffenheim O/U 2.5,Under/No,1.40,0.8714,0.6627,0.2087,0.2199,v3.6,Goles,Visitante,W,1.44,-2.78,2026-04-25 16:14,,,exact
2026-04-23 23:18,1388581,Hamburger SV vs 1899 Hoffenheim,"('Bundesliga', False)",Goles 1899 Hoffenheim O/U 0.5,Under/No,6.50,0.2887,0.1459,0.1429,0.8767,v3.6,Goles,Visitante,L,7.00,-7.14,2026-04-25 16:14,,,exact
2026-04-23 23:18,1388581,Hamburger SV vs 1899 Hoffenheim,"('Bundesliga', False)",BTTS,Under/No,2.50,0.4291,0.3750,0.0541,0.0726,v3.6,BTTS,Total,L,2.50,+0.00,2026-04-25 16:14,,,exact
2026-04-23 23:18,1492233,Botafogo vs Internacional,"('Brasileirao Serie A', False)",Goles tot. O/U 2.5,Over/Si,2.08,0.5800,0.4541,0.1259,0.2063,v3.6,Goles,Total,W,2.08,+0.00,2026-04-25 21:14,,,exact
2026-04-23 23:18,1492233,Botafogo vs Internacional,"('Brasileirao Serie A', False)",BTTS,Over/Si,1.80,0.5605,0.5200,0.0405,0.0089,v3.6,BTTS,Total,W,1.75,+2.86,2026-04-25 21:14,,,exact
2026-04-23 23:19,1492238,Remo vs Cruzeiro,"('Brasileirao Serie A', False)",Goles Cruzeiro O/U 1.5,Under/No,1.73,0.6382,0.5362,0.1020,0.1041,v3.6,Goles,Visitante,W,1.62,+6.79,2026-04-25 21:14,,,exact
2026-04-23 23:19,1378200,Napoli vs Cremonese,"('Serie A', False)",Goles Cremonese O/U 0.5,Over/Si,2.10,0.6916,0.4430,0.2486,0.4523,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:19,1378200,Napoli vs Cremonese,"('Serie A', False)",Goles Cremonese O/U 1.5,Over/Si,7.00,0.3273,0.1358,0.1915,1.2914,v3.6,Goles,Visitante,L,,,,,,
2026-04-23 23:19,1378200,Napoli vs Cremonese,"('Serie A', False)",BTTS,Over/Si,2.25,0.5122,0.4110,0.1012,0.1524,v3.6,BTTS,Total,L,,,,,,
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles tot. O/U 2.5,Under/No,3.00,0.5374,0.3182,0.2192,0.6123,v3.6,Goles,Total,L,3.20,-6.25,2026-04-25 15:59,,,exact
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles tot. O/U 3.5,Under/No,1.73,0.7536,0.5362,0.2174,0.3037,v3.6,Goles,Total,W,1.83,-5.46,2026-04-25 15:59,,,exact
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles tot. O/U 4.5,Under/No,1.30,0.8875,0.7234,0.1641,0.1537,v3.6,Goles,Total,W,1.36,-4.41,2026-04-25 15:59,,,exact
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles tot. O/U 1.5,Under/No,6.50,0.2827,0.1459,0.1368,0.8374,v3.6,Goles,Total,L,7.00,-7.14,2026-04-25 15:59,,,exact
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles Southampton O/U 0.5,Over/Si,1.80,0.6882,0.5148,0.1734,0.2387,v3.6,Goles,Visitante,W,1.73,+4.05,2026-04-25 15:59,,,exact
2026-04-23 23:20,1539716,Manchester City vs Southampton,"('FA Cup', True)",Goles Southampton O/U 1.5,Over/Si,5.00,0.3231,0.1896,0.1335,0.6156,v3.6,Goles,Visitante,L,4.50,+11.11,2026-04-25 15:59,,,exact
2026-04-23 23:21,1419950,Frosinone vs Carrarese,"('Coppa Italia', True)",BTTS,Under/No,2.20,0.4851,0.4241,0.0611,0.0673,v3.6,BTTS,Total,W,2.25,-2.22,2026-04-25 12:44,,,exact
2026-04-23 23:22,1419942,Reggiana vs Palermo,"('Coppa Italia', True)",Goles Palermo O/U 1.5,Under/No,2.00,0.7270,0.4638,0.2632,0.4539,v3.6,Goles,Visitante,W,1.91,+4.71,2026-04-25 12:44,,,exact
2026-04-23 23:22,1419942,Reggiana vs Palermo,"('Coppa Italia', True)",Goles Palermo O/U 2.5,Under/No,1.30,0.9153,0.7234,0.1919,0.1900,v3.6,Goles,Visitante,W,1.28,+1.56,2026-04-25 12:44,,,exact
2026-04-23 23:22,1419942,Reggiana vs Palermo,"('Coppa Italia', True)",Goles Palermo O/U 0.5,Under/No,5.50,0.3609,0.1717,0.1892,0.9847,v3.6,Goles,Visitante,L,5.00,+10.00,2026-04-25 12:44,,,exact
2026-04-23 23:22,1419943,Venezia vs Empoli,"('Coppa Italia', True)",Goles Empoli O/U 0.5,Over/Si,1.67,0.6628,0.5570,0.1058,0.1069,v3.6,Goles,Visitante,L,1.62,+3.09,2026-04-25 14:59,,,exact
2026-04-23 23:23,1392169,Valladolid vs Real Sociedad II,"('LaLiga 2', False)",Goles Real Sociedad II O/U 0.5,Over/Si,1.62,0.6896,0.5759,0.1137,0.1171,v3.6,Goles,Visitante,L,1.57,+3.18,2026-04-25 13:59,,,exact
2026-04-23 23:24,1392168,Burgos vs Deportivo La Coruna,"('LaLiga 2', False)",Goles tot. O/U 2.5,Over/Si,2.70,0.4879,0.3478,0.1400,0.3172,v3.6,Goles,Total,L,2.60,+3.85,2026-04-25 16:14,,,exact
2026-04-23 23:24,1392168,Burgos vs Deportivo La Coruna,"('LaLiga 2', False)",Goles tot. O/U 1.5,Over/Si,1.53,0.7375,0.6087,0.1288,0.1284,v3.6,Goles,Total,W,1.50,+2.00,2026-04-25 16:14,,,exact
2026-04-23 23:24,1392168,Burgos vs Deportivo La Coruna,"('LaLiga 2', False)",BTTS,Over/Si,2.20,0.5367,0.4241,0.1126,0.1807,v3.6,BTTS,Total,W,2.10,+4.76,2026-04-25 16:14,,,exact
2026-04-23 23:24,1392161,Malaga vs Castellón,"('LaLiga 2', False)",Goles Castellón O/U 1.5,Under/No,1.67,0.6600,0.5570,0.1030,0.1022,v3.6,Goles,Visitante,L,1.83,-8.74,2026-04-25 18:44,,,exact
2026-04-24 21:04,1492043,Atletico Tucuman vs Banfield,"('Liga Profesional', False)",Goles Banfield O/U 0.5,Over/Si,1.57,0.7035,0.5890,0.1145,0.1046,v3.6,Goles,Visitante,W,1.57,+0.00,2026-04-26 22:44,,,exact
2026-04-24 21:04,1492043,Atletico Tucuman vs Banfield,"('Liga Profesional', False)",BTTS,Over/Si,2.05,0.5146,0.4533,0.0613,0.0550,v3.6,BTTS,Total,W,2.05,+0.00,2026-04-26 22:44,,,exact
2026-04-24 21:05,1492050,Independ. Rivadavia vs Gimnasia M.,"('Liga Profesional', False)",Goles Gimnasia M. O/U 0.5,Over/Si,1.80,0.7115,0.5148,0.1966,0.2806,v3.6,Goles,Visitante,W,1.73,+4.05,2026-04-26 17:44,,,exact
2026-04-24 21:05,1492050,Independ. Rivadavia vs Gimnasia M.,"('Liga Profesional', False)",Goles Gimnasia M. O/U 1.5,Over/Si,5.50,0.3516,0.1717,0.1799,0.9337,v3.6,Goles,Visitante,L,5.00,+10.00,2026-04-26 17:44,,,exact
2026-04-24 21:05,1492050,Independ. Rivadavia vs Gimnasia M.,"('Liga Profesional', False)",BTTS,Over/Si,2.25,0.5427,0.4110,0.1317,0.2211,v3.6,BTTS,Total,W,2.10,+7.14,2026-04-26 17:44,,,exact
