fid,fecha,liga,atk_L,atk_V,def_L,def_V,mu_L,mu_V,mu_cor,mu_sh_L,mu_sh_V,g_L,g_V,c_L,c_V,s_L,s_V
1049091,2024-03-02,78,0.6427124518811826,0.9666147494663224,0.769960234443267,1.4382379068716864,1.626875195373822,0.8628134220201097,9.88600490880917,18.956976066149707,10.046753663320903,1,1,12,6,19,14
1049094,2024-03-02,78,0.9746965346072597,1.1408071202627277,0.7730076084946303,1.3300239556506996,2.4064554500750996,1.1843000840635827,9.953479545121773,13.626003307745021,15.186684149499525,1,4,2,5,14,12
1049095,2024-03-02,78,0.8967535887931772,1.0492388325844209,0.8657700495465043,1.1786088139644502,1.8911236243309575,1.1838432394457268,9.929858283424972,13.487032262214907,11.100439633766191,1,2,7,3,15,10
1049096,2024-03-02,78,0.6902438387250532,0.8201400839805624,1.05670894341853,1.1090166194397237,1.2634458826326862,1.07431970627423,9.92533965618556,14.075404210406958,12.551958863428098,0,6,3,6,10,22
1052519,2024-03-02,135,0.9120522765995777,1.1005679927002738,0.8668036059504116,1.071480063647544,1.4455000983251831,1.0913781331911536,9.660630708447458,12.185215984552613,11.932577321429521,1,4,6,3,16,12
1052521,2024-03-02,135,0.8579525930246402,0.8944755961494996,0.6411019308372561,1.102727461756346,1.4367948862658637,0.6266218362515309,9.655082427655486,12.245839750122204,9.150355874016954,0,0,4,5,8,14
1052522,2024-03-02,135,0.94192554368663,0.6733113099910323,0.9914330878778346,1.4520424921864332,2.078603161595288,0.7785706508956062,9.66252078984361,17.027900501218564,7.611262043077129,1,1,5,6,18,17
1035435,2024-03-03,39,0.7367046316307024,1.081959502024307,1.2265770865171581,1.2579091005309964,1.5056723177603164,1.9493802846615356,10.861508986788051,12.614808822786356,15.216796930492865,0,2,7,2,20,10
1035439,2024-03-03,39,1.1399984284693925,1.0229701734992893,0.6663429207008915,0.9112100346536687,1.7380119099615257,1.0801708667764338,10.849838144269157,21.33609554955687,9.898597544102044,3,1,15,2,27,3
1038212,2024-03-03,140,1.5169075739222024,1.4931322849800766,0.7895209580608067,1.0133603826494573,2.2391501842831687,1.448925165332215,9.467717315822096,12.813159563095894,10.866878339916658,0,0,4,4,8,8
